Technology
UMTS
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
EN-DC
LTE
Mixed
LTE
EN-DC
LTE
LTE
EN-DC
LTE
EN-DC
LTE
LTE
EN-DC
LTE
EN-DC
LTE
EN-DC
LTE
UMTS
Mixed
EN-DC
LTE
LTE
LTE
LTE
LTE
LTE
LTE
EN-DC
LTE
LTE
LTE
EN-DC
LTE
LTE
UMTS
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
Mixed
LTE
LTE
LTE
EN-DC
LTE
EN-DC
LTE
LTE
LTE
LTE
Mixed
LTE
Mixed
LTE
Mixed
LTE
LTE
EN-DC
LTE
EN-DC
LTE
LTE
EN-DC
EN-DC
EN-DC
EN-DC
EN-DC
LTE
EN-DC
EN-DC
EN-DC
LTE
EN-DC
LTE
EN-DC
LTE
EN-DC
LTE
EN-DC
Mixed
EN-DC
EN-DC
EN-DC
LTE
EN-DC
EN-DC
EN-DC
EN-DC
LTE
LTE
EN-DC
LTE
Mixed
LTE
Mixed
LTE
LTE
Mixed
EN-DC
LTE
EN-DC
LTE
EN-DC
LTE
EN-DC
LTE
EN-DC
LTE
LTE
EN-DC
LTE
EN-DC
EN-DC
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
EN-DC
LTE
EN-DC
Mixed
LTE
LTE
EN-DC
EN-DC
LTE
LTE
EN-DC
LTE
LTE
LTE
EN-DC
EN-DC
EN-DC
Mixed
LTE
EN-DC
LTE
EN-DC
LTE
LTE
LTE
LTE
LTE
LTE
LTE
Mixed
EN-DC
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
EN-DC
LTE
EN-DC
LTE
EN-DC
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
LTE
EN-DC
LTE
LTE
LTE
LTE
LTE
EN-DC
LTE
LTE
EN-DC
LTE
LTE
EN-DC
EN-DC
Mixed
Mixed
EN-DC
EN-DC
LTE
EN-DC
LTE
Mixed
EN-DC
LTE
EN-DC
LTE
Mixed
LTE
LTE
Mixed
LTE
LTE
LTE
LTE
LTE
LTE
EN-DC
EN-DC
Mixed
