feature,category,reason,missing_rate,std,unique_values
state.min,low_variance,Removed due to low variance (std = 0; unique values = 1; value(s) = [1]).,,0.0,1
state.max,low_variance,Removed due to low variance (std = 0; unique values = 1; value(s) = [1]).,,0.0,1
state.mean,low_variance,Removed due to low variance (std = 0; unique values = 1; value(s) = [1.]).,,0.0,1
state.std,low_variance,Removed due to low variance (std = 0; unique values = 1; value(s) = [0.]).,,0.0,1
state.median,low_variance,Removed due to low variance (std = 0; unique values = 1; value(s) = [1.]).,,0.0,1
state.q10,low_variance,Removed due to low variance (std = 0; unique values = 1; value(s) = [1.]).,,0.0,1
state.q25,low_variance,Removed due to low variance (std = 0; unique values = 1; value(s) = [1.]).,,0.0,1
state.q75,low_variance,Removed due to low variance (std = 0; unique values = 1; value(s) = [1.]).,,0.0,1
state.q90,low_variance,Removed due to low variance (std = 0; unique values = 1; value(s) = [1.]).,,0.0,1
retransmits.min,low_variance,Removed due to low variance (std = 0; unique values = 1; value(s) = [0]).,,0.0,1
retransmits.median,low_variance,Removed due to low variance (std = 0; unique values = 1; value(s) = [0.]).,,0.0,1
retransmits.q10,low_variance,Removed due to low variance (std = 0; unique values = 1; value(s) = [0.]).,,0.0,1
retransmits.q25,low_variance,Removed due to low variance (std = 0; unique values = 1; value(s) = [0.]).,,0.0,1
probes.min,low_variance,Removed due to low variance (std = 0; unique values = 1; value(s) = [0]).,,0.0,1
probes.max,low_variance,Removed due to low variance (std = 0; unique values = 1; value(s) = [0]).,,0.0,1
probes.mean,low_variance,Removed due to low variance (std = 0; unique values = 1; value(s) = [0.]).,,0.0,1
probes.std,low_variance,Removed due to low variance (std = 0; unique values = 1; value(s) = [0.]).,,0.0,1
probes.median,low_variance,Removed due to low variance (std = 0; unique values = 1; value(s) = [0.]).,,0.0,1
probes.q10,low_variance,Removed due to low variance (std = 0; unique values = 1; value(s) = [0.]).,,0.0,1
probes.q25,low_variance,Removed due to low variance (std = 0; unique values = 1; value(s) = [0.]).,,0.0,1
probes.q75,low_variance,Removed due to low variance (std = 0; unique values = 1; value(s) = [0.]).,,0.0,1
probes.q90,low_variance,Removed due to low variance (std = 0; unique values = 1; value(s) = [0.]).,,0.0,1
backoff.min,low_variance,Removed due to low variance (std = 0; unique values = 1; value(s) = [0]).,,0.0,1
backoff.median,low_variance,Removed due to low variance (std = 0; unique values = 1; value(s) = [0.]).,,0.0,1
backoff.q10,low_variance,Removed due to low variance (std = 0; unique values = 1; value(s) = [0.]).,,0.0,1
backoff.q25,low_variance,Removed due to low variance (std = 0; unique values = 1; value(s) = [0.]).,,0.0,1
options.min,low_variance,Removed due to low variance (std = 0; unique values = 1; value(s) = [7]).,,0.0,1
options.max,low_variance,Removed due to low variance (std = 0; unique values = 1; value(s) = [7]).,,0.0,1
options.mean,low_variance,Removed due to low variance (std = 0; unique values = 1; value(s) = [7.]).,,0.0,1
options.std,low_variance,Removed due to low variance (std = 0; unique values = 1; value(s) = [0.]).,,0.0,1
options.median,low_variance,Removed due to low variance (std = 0; unique values = 1; value(s) = [7.]).,,0.0,1
options.q10,low_variance,Removed due to low variance (std = 0; unique values = 1; value(s) = [7.]).,,0.0,1
