resets.sent.a2b,resets.sent.b2a,dsack.pkts.sent.b2a,rexmt.data.pkts.b2a,initial.window.bytes.a2b,truncated.data.b2a,truncated.packets.b2a,data.xmit.time.b2a,throughput.b2a,rtt.from.3whs.a2b,rtt.full.sz.smpls.a2b,rtt.full.sz.min.a2b,rtt.full.sz.max.a2b,rtt.full.sz.avg.a2b,rtt.min.last.a2b,max.retrans.a2b,min.retr.time.a2b,fin.pkts.sent.a2b,rtt.min.b2a,rtt.stdev.b2a,rtt.full.sz.smpls.b2a,rtt.full.sz.avg.b2a,triple.dupacks.b2a,duplicate.acks.b2a,transfer.datarate
0.0,0.0,0.0,0.0,70875.0,0.0,0.0,0.0,0.0,27.9,1.0,17.7,27.9,27.9,0.6,3.0,413.8,0.0,0.3,0.0,1.0,0.5,0.0,0.0,28109.082
0.0,0.0,0.0,0.0,63935.0,0.0,0.0,0.0,0.0,34.0,1.0,32.4,34.0,34.0,0.0,3.0,143.2,0.0,0.9,0.0,1.0,1.2,0.0,1.0,117447.107
0.0,0.0,0.0,0.0,63935.0,0.0,0.0,0.0,0.0,28.4,1.0,16.5,28.4,28.4,28.2,3.0,204.1,0.0,0.2,0.0,1.0,0.4,0.0,0.0,91225.805
0.0,0.0,0.0,0.0,63935.0,0.0,0.0,0.0,0.0,19.9,1.0,17.5,19.9,19.9,19.0,2.0,215.9,0.0,0.3,0.0,1.0,0.7,0.0,0.0,62629.832
0.0,0.0,0.0,0.0,63935.0,0.0,0.0,0.0,0.0,26.4,1.0,25.2,26.4,26.4,236.4,2.0,253.7,0.0,0.4,0.0,1.0,1.1,0.0,0.0,62931.226
0.0,0.0,0.0,0.0,63935.0,0.0,0.0,0.0,0.0,23.6,1.0,21.2,23.6,23.6,25.2,2.0,123.7,0.0,0.4,0.0,1.0,0.9,0.0,0.0,94766.394
0.0,0.0,0.0,0.0,69487.0,0.0,0.0,0.0,0.0,20.6,1.0,18.7,20.6,20.6,35.8,3.0,212.8,0.0,0.3,0.0,1.0,0.7,0.0,0.0,92712.154
0.0,0.0,0.0,0.0,63935.0,0.0,0.0,0.0,0.0,38.5,1.0,34.6,38.5,38.5,29.4,3.0,263.9,0.0,0.4,0.0,1.0,1.1,0.0,0.0,96566.829
0.0,0.0,0.0,0.0,63935.0,0.0,0.0,0.0,0.0,28.0,1.0,26.9,28.0,28.0,19.8,2.0,89.7,0.0,0.3,0.0,1.0,0.5,0.0,1.0,79044.717
0.0,0.0,0.0,0.0,63935.0,0.0,0.0,0.0,0.0,33.1,1.0,25.8,33.1,33.1,0.0,1.0,0.0,0.0,0.3,0.0,1.0,0.8,0.0,0.0,115524.529
0.0,0.0,0.0,0.0,63935.0,0.0,0.0,0.0,0.0,23.0,1.0,21.4,23.0,23.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,0.5,0.0,1.0,107401.16
0.0,0.0,0.0,0.0,63935.0,0.0,0.0,0.0,0.0,25.5,1.0,21.8,25.5,25.5,27.5,3.0,110.5,0.0,0.3,0.0,1.0,0.8,0.0,0.0,80708.73
0.0,0.0,0.0,0.0,63935.0,0.0,0.0,0.0,0.0,22.8,1.0,18.0,22.8,22.8,0.3,3.0,42.5,0.0,0.3,0.0,1.0,0.7,0.0,0.0,40708.95
0.0,0.0,0.0,0.0,63935.0,0.0,0.0,0.0,0.0,23.4,1.0,19.8,23.4,23.4,26.6,2.0,83.1,0.0,0.4,0.0,1.0,1.3,0.0,1.0,92910.44
0.0,0.0,0.0,0.0,63935.0,0.0,0.0,0.0,0.0,27.8,1.0,25.7,27.8,27.8,0.0,0.0,0.0,0.0,0.8,0.0,1.0,1.0,0.0,1.0,124841.521
0.0,0.0,0.0,0.0,66711.0,0.0,0.0,0.0,0.0,40.3,1.0,16.6,40.3,40.3,117.8,1.0,376.7,0.0,0.3,0.0,1.0,0.5,0.0,0.0,79445.373
0.0,0.0,0.0,0.0,63935.0,0.0,0.0,0.0,0.0,29.0,1.0,17.7,29.0,29.0,0.0,2.0,299.1,0.0,0.2,0.0,1.0,0.9,0.0,0.0,75748.415
0.0,0.0,0.0,0.0,63935.0,0.0,0.0,0.0,0.0,34.3,1.0,22.1,34.3,34.3,21.7,2.0,231.5,0.0,0.2,0.0,1.0,0.8,0.0,0.0,35471.034
0.0,0.0,0.0,0.0,63935.0,0.0,0.0,0.0,0.0,57.4,1.0,25.9,57.4,57.4,0.0,1.0,0.0,0.0,0.4,0.0,1.0,0.6,0.0,1.0,52317.051
0.0,0.0,0.0,0.0,69487.0,0.0,0.0,0.0,0.0,22.9,1.0,17.8,22.9,22.9,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.6,0.0,0.0,83440.314
0.0,0.0,0.0,0.0,72263.0,0.0,0.0,0.0,0.0,27.3,1.0,19.9,27.3,27.3,0.0,5.0,0.0,0.0,0.2,0.0,1.0,0.6,0.0,1.0,69918.17
0.0,0.0,0.0,0.0,63935.0,0.0,0.0,0.0,0.0,26.5,1.0,24.1,26.5,26.5,0.0,1.0,219.8,0.0,0.3,0.0,1.0,0.8,0.0,0.0,51275.199
0.0,0.0,0.0,0.0,61190.0,0.0,0.0,0.0,0.0,27.5,1.0,18.2,27.5,27.4,2.6,1.0,922.9,0.0,0.2,0.0,1.0,0.4,0.0,0.0,23841.851
0.0,0.0,0.0,0.0,68099.0,0.0,0.0,0.0,0.0,40.6,1.0,35.2,40.6,40.6,0.0,1.0,0.0,0.0,0.3,0.0,1.0,0.9,0.0,3.0,33300.995
0.0,0.0,0.0,0.0,63935.0,0.0,0.0,0.0,0.0,21.7,1.0,16.7,21.7,21.7,0.0,0.0,0.0,0.0,0.6,0.0,1.0,0.8,0.0,0.0,91108.419
0.0,0.0,0.0,0.0,63935.0,0.0,0.0,0.0,0.0,24.9,1.0,23.4,24.9,24.9,155.6,1.0,292.0,0.0,0.3,0.0,1.0,1.1,0.0,0.0,71781.114
0.0,0.0,0.0,0.0,68099.0,0.0,0.0,0.0,0.0,20.6,1.0,18.8,20.6,20.6,0.0,2.0,384.1,0.0,0.3,0.0,1.0,0.6,0.0,0.0,53399.235
0.0,0.0,0.0,0.0,63935.0,0.0,0.0,0.0,0.0,23.8,1.0,19.6,23.8,23.8,0.0,1.0,0.0,0.0,0.3,0.0,1.0,0.7,0.0,0.0,97635.985
0.0,0.0,0.0,0.0,58383.0,0.0,0.0,0.0,0.0,23.3,1.0,18.3,23.3,23.3,0.2,4.0,48.6,0.0,0.6,0.0,1.0,1.2,0.0,0.0,65403.753
0.0,0.0,0.0,0.0,63935.0,0.0,0.0,0.0,0.0,38.0,1.0,26.5,38.0,38.0,0.0,1.0,0.0,0.0,0.2,0.0,1.0,0.9,0.0,0.0,30518.65
0.0,0.0,0.0,0.0,63935.0,0.0,0.0,0.0,0.0,40.0,1.0,31.8,40.0,40.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.2,0.0,0.0,36271.771
0.0,0.0,0.0,0.0,63935.0,0.0,0.0,0.0,0.0,31.3,1.0,20.8,31.3,31.2,0.0,0.0,0.0,0.0,0.3,0.0,1.0,0.7,0.0,0.0,40772.401
0.0,0.0,0.0,0.0,63935.0,0.0,0.0,0.0,0.0,33.4,1.0,22.7,33.4,33.3,7.5,1.0,383.3,0.0,0.3,0.0,1.0,0.7,0.0,0.0,60282.129
0.0,0.0,0.0,0.0,66711.0,0.0,0.0,0.0,0.0,99.5,1.0,45.5,99.5,99.4,0.0,1.0,404.0,0.0,0.3,0.0,1.0,1.5,0.0,0.0,39488.759
0.0,0.0,0.0,0.0,63935.0,0.0,0.0,0.0,0.0,25.3,1.0,21.2,25.3,25.3,28.3,2.0,153.2,0.0,0.2,0.0,1.0,0.6,0.0,0.0,57404.607
0.0,0.0,0.0,0.0,66711.0,0.0,0.0,0.0,0.0,29.9,1.0,24.7,29.9,29.9,88.6,3.0,221.4,0.0,0.3,0.0,1.0,1.0,0.0,0.0,62574.312
