abs.rtt.max,abs.packetlost.sum,total.packets.b2a,pure.acks.sent.a2b,sack.pkts.sent.a2b,dsack.pkts.sent.a2b,max.sack.blks.ack.a2b,actual.data.pkts.b2a,rexmt.data.pkts.b2a,rexmt.data.bytes.b2a,outoforder.pkts.b2a,pushed.data.pkts.b2a,adv.wind.scale.a2b,mss.requested.b2a,min.segm.size.b2a,avg.segm.size.b2a,min.win.adv.a2b,initial.window.bytes.b2a,initial.window.pkts.b2a,truncated.data.b2a,truncated.packets.b2a,idletime.max.b2a,hardware.dups.b2a,rtt.from.3whs.a2b,rtt.from.3whs.b2a,post.loss.acks.a2b,ambiguous.acks.a2b,segs.cum.acked.a2b,duplicate.acks.a2b,triple.dupacks.a2b,max.retrans.b2a,transfer.datarate
245.0,0.0,881.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,1320.0,433.0,432.0,87808.0,433.0,1.0,0.0,0.0,39.0,0.0,19.0,0.0,0.0,0.0,1035.0,0.0,0.0,0.0,12722.6463104326
66.0,0.0,582.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,1320.0,433.0,432.0,87808.0,433.0,1.0,0.0,0.0,33.0,0.0,17.0,0.0,0.0,0.0,1334.0,0.0,0.0,0.0,41753.6534446764
1501.0,0.0,347.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1320.0,0.0,0.0,87808.0,0.0,0.0,0.0,0.0,192.0,0.0,51.0,0.0,0.0,0.0,330.0,0.0,0.0,0.0,1947.23006523221
574.0,0.0,821.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,1320.0,433.0,432.0,87808.0,433.0,1.0,0.0,0.0,31.0,0.0,24.0,0.0,0.0,0.0,1098.0,1.0,0.0,0.0,8470.98686997035
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,65535.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10689.4708711919
526.0,0.0,783.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,8.0,1320.0,245.0,716.0,87808.0,1308.0,1.0,462.0,1.0,77.0,0.0,30.0,0.0,0.0,0.0,1141.0,0.0,0.0,0.0,11389.5216400911
248.0,0.0,978.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,8.0,1320.0,258.0,895.0,87808.0,1308.0,1.0,564.0,2.0,112.0,0.0,28.0,0.0,612.0,0.0,1044.0,85.0,9.0,0.0,15174.5068285281
266.0,0.0,758.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,1320.0,433.0,432.0,87808.0,433.0,1.0,0.0,0.0,29.0,0.0,24.0,0.0,120.0,0.0,1159.0,2.0,0.0,0.0,12987.012987013
398.0,0.0,762.0,5.0,1.0,1.0,1.0,5.0,1.0,245.0,0.0,4.0,8.0,1320.0,245.0,765.0,87808.0,2616.0,1.0,1626.0,2.0,97.0,0.0,23.0,0.0,0.0,0.0,1161.0,0.0,0.0,0.0,7883.32676389436
140.0,0.0,1014.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,1320.0,433.0,432.0,87808.0,433.0,1.0,0.0,0.0,53.0,0.0,30.0,1.0,172.0,0.0,931.0,22.0,1.0,0.0,8752.7352297593
612.0,0.0,855.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,1320.0,258.0,895.0,65535.0,1320.0,1.0,539.0,2.0,359.0,0.0,25.0,0.0,0.0,0.0,1050.0,0.0,0.0,0.0,2636.783124588
411.0,0.0,1347.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,1320.0,433.0,432.0,87808.0,433.0,1.0,0.0,0.0,30.0,0.0,27.0,0.0,902.0,0.0,641.0,64.0,0.0,0.0,5090.35377958768
