resets.sent.b2a,sack.pkts.sent.a2b,dsack.pkts.sent.a2b,max.sack.blks.ack.a2b,actual.data.bytes.b2a,rexmt.data.pkts.b2a,rexmt.data.bytes.b2a,outoforder.pkts.b2a,pushed.data.pkts.b2a,adv.wind.scale.a2b,mss.requested.b2a,max.segm.size.b2a,min.segm.size.b2a,max.win.adv.a2b,min.win.adv.a2b,avg.win.adv.a2b,initial.window.bytes.b2a,initial.window.pkts.b2a,truncated.data.b2a,truncated.packets.b2a,idletime.max.b2a,hardware.dups.b2a,rtt.from.3whs.a2b,rtt.from.3whs.b2a,post.loss.acks.a2b,ambiguous.acks.a2b,duplicate.acks.a2b,triple.dupacks.a2b,max.retrans.b2a,min.retr.time.b2a,sdv.retr.time.b2a,transfer.datarate
0.0,159.0,1.0,2.0,5001690.0,2.0,1309.0,29.0,4.0,8.0,1320.0,3924.0,1206.0,365568.0,87808.0,358007.0,1308.0,1.0,5000382.0,3761.0,901.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,850.267834367826
0.0,1.0,0.0,1.0,5000382.0,0.0,0.0,1.0,4.0,8.0,1320.0,2616.0,1206.0,4193280.0,87808.0,2773289.0,1308.0,1.0,4999074.0,3797.0,125.0,0.0,24.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,0.0,1346.75600148143
0.0,1046.0,0.0,3.0,5001690.0,1.0,1308.0,399.0,6.0,8.0,1320.0,5232.0,8.0,4191232.0,87808.0,2063470.0,2616.0,1.0,5000238.0,1975.0,456.0,0.0,39.0,0.0,0.0,0.0,1.0,0.0,1.0,83.0,0.0,28880.8664259928
0.0,69.0,0.0,1.0,5000382.0,0.0,0.0,1.0,2.0,8.0,1320.0,5232.0,648.0,4193280.0,87808.0,2659341.0,2616.0,1.0,4998930.0,1575.0,55.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,40485.8299595142
0.0,545.0,0.0,3.0,5000382.0,0.0,0.0,23.0,11.0,8.0,1320.0,5232.0,306.0,4188928.0,87808.0,2994194.0,2616.0,1.0,4998930.0,1479.0,56.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62402.496099844
0.0,0.0,0.0,0.0,40548.0,0.0,0.0,0.0,2.0,8.0,1320.0,2616.0,1308.0,176896.0,87808.0,130104.0,1308.0,1.0,39240.0,29.0,52.0,0.0,62.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9945.30084535057
0.0,413.0,1.0,2.0,5001690.0,1.0,1308.0,3.0,2.0,8.0,1320.0,5232.0,1206.0,4193280.0,87808.0,3017820.0,1308.0,1.0,5000382.0,3186.0,157.0,0.0,31.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6806.19363620895
0.0,1.0,0.0,1.0,5000382.0,0.0,0.0,1.0,2.0,8.0,1320.0,5232.0,1206.0,4193280.0,87808.0,2625332.0,2616.0,1.0,4998930.0,2633.0,99.0,0.0,30.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13188.2624464227
0.0,820.0,1.0,3.0,5015597.0,1.0,1308.0,6.0,21.0,8.0,1320.0,5232.0,245.0,4193280.0,87808.0,2976601.0,2616.0,1.0,1046508.0,736.0,463.0,0.0,23.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,9394.08172851104
0.0,10.0,0.0,1.0,5014289.0,0.0,0.0,10.0,5.0,8.0,1320.0,5232.0,245.0,2095872.0,87808.0,1849436.0,1308.0,1.0,1057650.0,860.0,525.0,0.0,37.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6015.03759398496
0.0,594.0,1.0,2.0,5001690.0,1.0,1308.0,4.0,2.0,8.0,1320.0,5232.0,1308.0,4193280.0,87808.0,3029840.0,1308.0,1.0,5000382.0,2297.0,40.0,0.0,39.0,0.0,0.0,0.0,3.0,0.0,1.0,109.0,0.0,26773.7617135208
0.0,0.0,0.0,0.0,2860.0,0.0,0.0,0.0,1.0,8.0,1320.0,2616.0,244.0,95488.0,87808.0,91008.0,2616.0,1.0,1164.0,1.0,59.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82987.5518672199
0.0,2.0,0.0,1.0,5000382.0,0.0,0.0,2.0,2.0,8.0,1320.0,5232.0,648.0,4193280.0,87808.0,2742424.0,1308.0,1.0,4999074.0,2447.0,48.0,0.0,28.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,20811.6545265349
0.0,160.0,0.0,3.0,5000382.0,0.0,0.0,4.0,2.0,8.0,1320.0,5232.0,1206.0,2311936.0,87808.0,1972182.0,1308.0,1.0,4999074.0,3508.0,66.0,0.0,33.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7531.53831670119
0.0,0.0,0.0,0.0,5014637.0,0.0,0.0,0.0,5.0,8.0,1320.0,5232.0,245.0,4193280.0,87808.0,2888066.0,1308.0,1.0,1143828.0,807.0,100.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12519.5618153365
0.0,0.0,0.0,0.0,5000382.0,0.0,0.0,0.0,1.0,8.0,1320.0,5232.0,1206.0,4193280.0,87808.0,2873399.0,2616.0,1.0,4998930.0,3375.0,130.0,0.0,29.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5270.78666490974
0.0,2.0,0.0,1.0,5014637.0,0.0,0.0,1.0,5.0,8.0,1320.0,5232.0,245.0,4193280.0,87808.0,2805056.0,2616.0,1.0,1353588.0,1056.0,107.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20366.5987780041
0.0,433.0,0.0,2.0,5000382.0,0.0,0.0,4.0,2.0,8.0,1320.0,5232.0,1206.0,4193280.0,87808.0,2249208.0,2616.0,1.0,4998930.0,1530.0,70.0,0.0,50.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,49751.2437810945
0.0,0.0,0.0,0.0,5014638.0,0.0,0.0,0.0,4.0,8.0,1320.0,5232.0,246.0,4149504.0,87808.0,2800600.0,1308.0,1.0,1239174.0,928.0,155.0,0.0,32.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,17233.95088324
0.0,0.0,0.0,0.0,5014638.0,0.0,0.0,0.0,4.0,8.0,1320.0,5232.0,246.0,4193280.0,87808.0,2712735.0,2616.0,1.0,2536956.0,1431.0,115.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41884.8167539267
0.0,691.0,0.0,3.0,5000382.0,0.0,0.0,4.0,5.0,8.0,1320.0,5232.0,1308.0,4194304.0,87808.0,3051364.0,1308.0,1.0,4999074.0,2348.0,75.0,0.0,22.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,26648.9007328448
0.0,5.0,0.0,1.0,5014290.0,0.0,0.0,5.0,5.0,8.0,1320.0,5232.0,222.0,3798528.0,87808.0,2666962.0,2616.0,1.0,1878036.0,1229.0,77.0,0.0,40.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,28089.8876404494
0.0,865.0,0.0,1.0,5000382.0,0.0,0.0,6.0,13.0,8.0,1320.0,3924.0,108.0,4194304.0,87808.0,2842450.0,1308.0,1.0,4999074.0,3726.0,329.0,0.0,29.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2905.49865620687
0.0,886.0,2.0,3.0,5002998.0,2.0,2616.0,8.0,15.0,8.0,1320.0,5232.0,552.0,4193280.0,87808.0,2744068.0,2616.0,1.0,5001546.0,2884.0,35.0,0.0,32.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,16849.199663016
0.0,4.0,1.0,1.0,5001690.0,1.0,1308.0,1.0,1.0,8.0,1320.0,5232.0,1308.0,4193280.0,87808.0,2399760.0,2616.0,1.0,5000238.0,1317.0,36.0,0.0,38.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,65573.7704918033
0.0,13.0,0.0,1.0,5014288.0,0.0,0.0,11.0,3.0,8.0,1320.0,5232.0,244.0,4193280.0,87808.0,2635874.0,1308.0,1.0,2643810.0,1290.0,83.0,0.0,30.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,38424.5917387128
0.0,3.0,0.0,1.0,5000382.0,0.0,0.0,3.0,2.0,8.0,1320.0,5232.0,1206.0,4193280.0,87808.0,2441892.0,2616.0,1.0,4998930.0,1476.0,94.0,0.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,32599.837000815
0.0,9.0,2.0,1.0,5002998.0,2.0,2616.0,6.0,2.0,8.0,1320.0,5232.0,1308.0,4193280.0,87808.0,2525725.0,2616.0,1.0,5001546.0,1561.0,47.0,0.0,28.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,34423.4079173838
0.0,0.0,0.0,0.0,5014637.0,0.0,0.0,12.0,3.0,0.0,1320.0,5280.0,1.0,65535.0,64681.0,64688.0,1320.0,1.0,1901042.0,1035.0,200.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10314.5951521403
0.0,7.0,1.0,1.0,5015597.0,1.0,1308.0,4.0,4.0,8.0,1320.0,5232.0,222.0,4053504.0,87808.0,2350827.0,2616.0,1.0,3000552.0,1200.0,127.0,0.0,32.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,65681.4449917898
0.0,6.0,1.0,2.0,5001690.0,1.0,1308.0,3.0,2.0,8.0,1320.0,5232.0,1206.0,3729664.0,87808.0,2567221.0,1308.0,1.0,5000382.0,2503.0,91.0,0.0,21.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,19305.0193050193
0.0,12.0,1.0,1.0,5015946.0,1.0,1308.0,6.0,4.0,8.0,1320.0,5232.0,258.0,4194304.0,87808.0,2807224.0,1308.0,1.0,893904.0,666.0,81.0,0.0,31.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,12578.6163522013
0.0,4.0,0.0,1.0,5014289.0,0.0,0.0,3.0,4.0,8.0,1320.0,5232.0,222.0,4193280.0,87808.0,2969915.0,1308.0,1.0,157229.0,128.0,200.0,0.0,37.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3730.29935652336
0.0,531.0,0.0,1.0,5000382.0,0.0,0.0,4.0,1.0,8.0,1320.0,5232.0,1206.0,4194304.0,87808.0,2727033.0,1308.0,1.0,4999074.0,3428.0,208.0,0.0,29.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4967.09300881659
0.0,0.0,0.0,0.0,5156329.0,247.0,142040.0,235.0,3.0,0.0,1320.0,2680.0,106.0,65535.0,65392.0,65392.0,1072.0,1.0,458640.0,1310.0,104.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9498.93137022085
0.0,0.0,0.0,0.0,5000382.0,0.0,0.0,0.0,2.0,8.0,1320.0,5232.0,1308.0,3651584.0,87808.0,2278416.0,1308.0,1.0,4999074.0,1504.0,46.0,0.0,32.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,47904.1916167665
0.0,2.0,0.0,1.0,5000382.0,0.0,0.0,2.0,2.0,8.0,1320.0,5232.0,1206.0,4193280.0,87808.0,2721183.0,1308.0,1.0,4999074.0,3538.0,85.0,0.0,36.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7528.70318087709
0.0,0.0,0.0,0.0,5015957.0,1.0,1320.0,6.0,4.0,0.0,1320.0,5280.0,221.0,65535.0,64680.0,64684.0,2640.0,1.0,1841166.0,1045.0,429.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11148.2720178372
0.0,4.0,0.0,1.0,5000382.0,0.0,0.0,3.0,4.0,8.0,1320.0,5232.0,1206.0,3212032.0,87808.0,2247900.0,1308.0,1.0,4999074.0,1598.0,48.0,0.0,34.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,29239.7660818713
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,65535.0,65535.0,65535.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14149.274849664
0.0,0.0,0.0,0.0,5014290.0,0.0,0.0,0.0,7.0,8.0,1320.0,5232.0,222.0,3696384.0,87808.0,2660806.0,2616.0,1.0,2629752.0,1268.0,114.0,0.0,37.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,31670.6254948535
0.0,23.0,4.0,3.0,5019869.0,4.0,5232.0,4.0,6.0,8.0,1320.0,5232.0,245.0,4194304.0,87808.0,2799946.0,1308.0,1.0,2253846.0,1330.0,83.0,0.0,43.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,36832.4125230203
0.0,6.0,1.0,1.0,5001690.0,1.0,1308.0,4.0,2.0,8.0,1320.0,5232.0,1206.0,4194304.0,87808.0,2706073.0,2616.0,1.0,5000238.0,1975.0,39.0,0.0,32.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,29563.9320029564
0.0,2.0,0.0,1.0,825348.0,0.0,0.0,2.0,1.0,8.0,1320.0,5232.0,1308.0,1763072.0,87808.0,902437.0,2616.0,1.0,823896.0,295.0,48.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,40444.8938321537
0.0,513.0,0.0,3.0,5014638.0,0.0,0.0,8.0,5.0,8.0,1320.0,5232.0,258.0,4193280.0,87808.0,2747907.0,1308.0,1.0,2386464.0,1201.0,98.0,0.0,83.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,19175.4554170662
