resets.sent.a2b,sack.pkts.sent.b2a,dsack.pkts.sent.a2b,actual.data.bytes.b2a,rexmt.data.bytes.a2b,rexmt.data.bytes.b2a,outoforder.pkts.b2a,max.segm.size.b2a,min.segm.size.b2a,avg.segm.size.a2b,max.win.adv.a2b,min.win.adv.a2b,avg.win.adv.a2b,avg.win.adv.b2a,min.non.zero.owin.b2a,avg.owin.a2b,avg.owin.b2a,wavg.owin.a2b,initial.window.bytes.b2a,initial.window.pkts.b2a,truncated.data.b2a,data.xmit.time.a2b,data.xmit.time.b2a,throughput.a2b,rtt.samples.a2b,rtt.min.a2b,rtt.max.a2b,rtt.avg.a2b,rtt.stdev.a2b,rtt.from.3whs.a2b,rtt.full.sz.smpls.a2b,rtt.full.sz.max.a2b,rtt.min.last.a2b,segs.cum.acked.a2b,triple.dupacks.a2b,max.retrans.a2b,sdv.retr.time.a2b,syn.pkts.sent.a2b,fin.pkts.sent.a2b,ambiguous.acks.a2b,rtt.samples.b2a,rtt.min.b2a,rtt.max.b2a,rtt.avg.b2a,rtt.stdev.b2a,rtt.full.sz.min.b2a,rtt.full.sz.avg.b2a,post.loss.acks.b2a,rtt.min.last.b2a,rtt.max.last.b2a,rtt.sdv.last.b2a,segs.cum.acked.b2a,triple.dupacks.b2a,max.retrans.b2a,min.retr.time.b2a,avg.retr.time.b2a,sdv.retr.time.b2a,duplicate.acks.a2b,duplicate.acks.b2a,abs.downlinkdelay.max,abs.uplinkdelay.25.,abs.uplinkdelay.50.,abs.uplinkdelay.avg,abs.uplinkdelay.75.,abs.uplinkdelay.max,abs.downlinkdeltadelay.25.,abs.downlinkdeltadelay.50.,abs.downlinkdeltadelay.75.,abs.uplinkdeltadelay.75.,abs.rtt.min,abs.rtt.25.,abs.rtt.50.,abs.rtt.avg,abs.rtt.75.,abs.rtt.max,abs.cwin.min,abs.cwin.25.,abs.cwin.50.,abs.cwin.max,abs.rwin.min,abs.rwin.25.,abs.rwin.50.,abs.rwin.avg,abs.rwin.75.,abs.winratio.25.,abs.winratio.50.,abs.radiobuffer.min,abs.radiobuffer.25.,abs.radiobuffer.50.,abs.radiobuffer.avg,abs.radiobuffer.75.,abs.radiobuffer.max,abs.idletime.25.,abs.idletime.50.,abs.idletime.75.,abs.idletime.max,abs.segmentsizes.min,abs.segmentsizes.max,abs.packetlost.sum,abs.pushevents.sum,abs.burst.sum,abs.rtoevents.sum,abs.theoricalmaxtp.min,abs.theoricalmaxtp.avg,abs.theoricalmaxtp.max,transfer.datarate
0.0,0.0,0.0,10025906.0,0.0,0.0,9.0,65236.0,274.0,300.0,6290432.0,65536.0,4184665.0,371687.0,1.0,3.0,55296.0,41.0,1388.0,1.0,9950586.0,0.193,0.793,1015.0,4.0,23.6,34.3,30.3,4.8,34.3,1.0,34.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,350.0,0.1,3.9,0.6,0.4,1.0,1.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,11.0,3.65313653136531,13.0,32.0,40.0,61.0,70.0,72.0,16.0,45.0,64.0,62.8782287822878,81.0,107.0,0.0,683032.0,1203396.0,1610491.0,65536.0,3004928.0,6105088.0,4705996.04428044,6268928.0,0.160801674670356,0.254078890715381,0.0,538815.0,1022262.0,922895.60701107,1266589.5,1648666.0,0.0,0.0,1.00000000384171,101.999999998952,1.0,65236.0,0.0,263.0,0.0,0.0,0.0,131.841187154606,296.485333319215,131652.493
0.0,0.0,0.0,10000383.0,0.0,0.0,0.0,65236.0,940.0,229.0,8387584.0,65536.0,5554312.0,265199.0,1.0,1.0,80152.0,12.0,4164.0,1.0,10000243.0,0.0,0.357,565.0,2.0,16.3,25.0,20.7,0.0,25.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,329.0,0.1,5.6,0.5,0.6,0.4,0.4,0.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,9.0,13.0,8.3871635610766,15.0,22.0,17.5,26.0,31.0,52.0,11.0,25.0,37.7677419354797,36.5650303880317,47.0,59.0,0.0,580360.0,1313048.0,1450004.0,65536.0,4699648.0,8270848.0,6446482.81573499,8356864.0,0.154986734756472,0.17092517955379,0.0,684284.0,972988.0,967094.02484472,1200620.0,1829227.0,0.0,0.0,1.00000000384171,24.0000000048894,1.0,65236.0,0.0,241.0,0.0,0.0,0.0,216.999703799868,459.26143998163,223472.246
0.0,0.0,0.0,10025819.0,0.0,0.0,8.0,65236.0,274.0,300.0,7115776.0,65536.0,3628254.0,288151.0,1.0,4.0,136913.0,71.0,3586.0,2.0,9971079.0,0.116,0.322,2291.0,4.0,14.0,24.5,18.2,4.7,18.8,1.0,18.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,244.0,0.1,6.2,0.4,0.4,0.3,0.3,0.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,12.0,9.58015267175572,14.0,18.0,5.0,12.0,19.0,36.0,12.0,21.0,27.0,26.3180661577608,31.0,37.0,0.0,882296.0,1266839.0,1852507.0,65536.0,3305472.0,4965376.0,4414682.87022901,6306816.0,0.230647916288978,0.264299750766871,0.0,367820.0,892484.0,1287255.07633588,3010552.0,3010552.0,0.0,0.0,1.00000000384171,69.0000000031432,1.0,65236.0,0.0,212.0,0.0,0.0,0.0,351.386284137716,740.435999953723,354759.611
0.0,0.0,0.0,10000383.0,0.0,0.0,0.0,65236.0,624.0,229.0,6630400.0,65536.0,3748520.0,301435.0,1.0,1.0,87865.0,17.0,4164.0,1.0,10000243.0,0.0,0.296,671.0,2.0,18.2,18.7,18.4,0.0,18.7,1.0,18.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,273.0,0.1,2.7,0.6,0.4,0.4,0.4,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,6.0,12.0,9.8679706601467,14.0,28.0,9.0,16.0,28.0,24.0,16.0,24.0,28.0,31.1369193154034,37.0,59.0,0.0,833632.0,1242267.0,2005660.0,65536.0,3219456.0,3552256.0,4261908.02933985,6381568.0,0.216037495139969,0.269396551724138,0.0,557932.0,864724.0,1151010.33740831,1272796.0,2691748.0,0.0,0.0,1.00000000384171,27.9999999984284,1.0,65236.0,0.0,214.0,0.0,0.0,0.0,293.642788719992,596.531555522415,270280.622
0.0,0.0,0.0,10000383.0,0.0,0.0,1.0,65236.0,166.0,229.0,8387584.0,65536.0,4968865.0,279146.0,1.0,1.0,94138.0,7.0,12492.0,3.0,10000243.0,0.0,0.598,353.0,2.0,17.0,25.6,21.3,0.0,25.6,1.0,25.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,367.0,0.1,8.2,0.6,0.9,0.8,0.8,0.0,0.0,0.0,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,8.0,12.0,8.74866310160428,15.0,24.0,19.0,30.0,65.0,51.0,12.0,33.0,40.0,67.3689839572193,71.0,226.0,0.0,668285.0,1067361.0,1460462.0,65536.0,3950592.0,6517760.0,5813936.1426025,8243200.0,0.114572156652361,0.157414500852124,0.0,566116.0,941064.0,822929.49197861,1031184.0,1591173.0,0.0,0.0,1.00000000384171,36.999999996624,1.0,65236.0,0.0,261.0,0.0,0.0,0.0,160.599943878042,954.018666587165,133784.388
0.0,0.0,0.0,10025818.0,0.0,0.0,0.0,65236.0,48.0,300.0,4944896.0,65536.0,1887531.0,284114.0,1.0,4.0,97110.0,48.0,3585.0,2.0,9955630.0,0.112,0.532,1503.0,4.0,12.4,20.4,17.1,3.6,19.5,1.0,19.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,267.0,0.1,2.9,0.5,0.4,0.7,0.6,0.0,0.0,0.0,0.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,9.0,13.0,7.98611111111111,15.0,19.0,9.0,25.0,39.0,52.0,14.0,23.0,30.0,41.4345238095238,47.0,115.0,0.0,598487.0,880686.0,1728060.0,65536.0,1198080.0,1873408.0,1874098.79365079,2323456.0,0.309206192358366,0.394028437612047,0.0,411799.0,803000.0,823325.400793651,1259658.0,1661341.0,0.0,0.0,1.00000000384171,69.0000000031432,1.0,65236.0,0.0,234.0,0.0,0.0,0.0,217.191491008837,717.179733285521,187765.04
0.0,0.0,0.0,10000383.0,0.0,0.0,0.0,65236.0,468.0,229.0,8010752.0,65536.0,5012654.0,301478.0,1.0,1.0,87231.0,17.0,8328.0,2.0,10000243.0,0.0,0.282,688.0,2.0,19.3,22.1,20.7,0.0,22.1,1.0,22.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,287.0,0.1,3.2,0.7,0.4,1.0,1.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,7.0,11.0,9.04918032786885,14.0,32.0,9.0,14.0,20.0,34.0,7.0,22.0,26.0,27.1700819672131,33.0,43.0,0.0,754432.0,1005368.0,1491212.0,65536.0,4588544.0,7753728.0,6159158.55737705,7986176.0,0.113238687347776,0.177299019628926,0.0,452263.0,854628.0,955983.637295082,1125211.0,2162180.0,0.0,0.0,1.00000000384171,28.9999999949941,1.0,65236.0,0.0,260.0,0.0,0.0,0.0,280.452079890665,975.903999860585,283698.809
0.0,0.0,0.0,10025819.0,0.0,0.0,4.0,65236.0,274.0,300.0,3902464.0,65536.0,2062425.0,286843.0,1.0,4.0,79654.0,65.0,3586.0,2.0,9966599.0,0.114,0.361,2105.0,4.0,14.3,19.5,17.9,2.4,19.2,1.0,19.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,261.0,0.1,6.7,0.5,0.5,0.8,0.8,0.0,0.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,9.0,11.0,9.30913348946136,14.0,18.0,8.0,14.0,21.0,29.0,12.0,22.0,26.0,27.288056206089,33.0,44.0,0.0,704278.5,1142485.0,1585233.0,65536.0,1819648.0,2507776.0,2342952.76814988,3061248.0,0.3145855620474,0.401444877756595,0.0,567645.0,631540.0,694370.519906323,945893.5,1488818.0,0.0,0.0,1.00000000384171,72.0000000001164,1.0,65236.0,0.0,226.0,0.0,0.0,0.0,300.725540860187,883.928571365434,313186.219
0.0,0.0,0.0,10000383.0,0.0,0.0,0.0,65236.0,56.0,229.0,8387584.0,65536.0,5503566.0,270818.0,1.0,1.0,70206.0,11.0,8328.0,2.0,10000243.0,0.0,0.376,547.0,2.0,15.6,17.0,16.3,0.0,17.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,313.0,0.1,6.9,0.5,0.6,0.6,0.6,0.0,0.0,0.0,0.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,3.75,10.0,2.2125,13.0,28.0,26.0,31.0,37.0,84.0,12.0,32.0,40.5,39.25625,47.0,66.0,0.0,735295.0,1279206.0,1471659.0,65536.0,4808960.0,8231936.0,6444027.73333333,8363008.0,0.149835813998857,0.172749312767257,0.0,979183.5,1169681.5,1548431.31666667,2965930.0,2965930.0,0.0,0.0,0.999999996565748,27.0000000018626,1.0,65236.0,0.0,237.0,0.0,0.0,0.0,207.575984378355,346.742666652219,212774.106
0.0,0.0,0.0,10025819.0,0.0,0.0,8.0,65236.0,54.0,300.0,4143104.0,65536.0,1729928.0,293763.0,1.0,4.0,97680.0,54.0,3586.0,2.0,9960525.0,0.134,0.533,1479.0,4.0,12.1,21.8,18.8,4.6,21.5,1.0,21.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,268.0,0.1,2.7,0.7,0.4,0.4,0.4,0.0,0.0,0.0,0.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,12.0,15.0,10.566,17.0,22.0,5.0,9.0,20.0,44.0,13.0,24.0,26.0,27.59,30.0,45.0,0.0,462204.0,610590.0,1327158.0,65536.0,770048.0,1275904.0,1804173.312,2795776.0,0.195766205632373,0.396785862087094,0.0,200801.75,401826.0,564480.542,783731.5,1544641.0,0.0,0.0,1.4999999984866,82.9999999987194,1.0,65236.0,0.0,256.0,0.0,0.0,0.0,193.309987458523,493.39879997533,197964.622
