resets.sent.a2b,sack.pkts.sent.b2a,dsack.pkts.sent.a2b,actual.data.bytes.b2a,rexmt.data.bytes.a2b,rexmt.data.bytes.b2a,outoforder.pkts.b2a,max.segm.size.b2a,min.segm.size.b2a,avg.segm.size.a2b,max.win.adv.a2b,min.win.adv.a2b,avg.win.adv.a2b,avg.win.adv.b2a,min.non.zero.owin.b2a,avg.owin.a2b,avg.owin.b2a,wavg.owin.a2b,initial.window.bytes.b2a,initial.window.pkts.b2a,truncated.data.b2a,data.xmit.time.a2b,data.xmit.time.b2a,throughput.a2b,rtt.samples.a2b,rtt.min.a2b,rtt.max.a2b,rtt.avg.a2b,rtt.stdev.a2b,rtt.from.3whs.a2b,rtt.full.sz.smpls.a2b,rtt.full.sz.max.a2b,rtt.min.last.a2b,segs.cum.acked.a2b,triple.dupacks.a2b,max.retrans.a2b,sdv.retr.time.a2b,syn.pkts.sent.a2b,fin.pkts.sent.a2b,ambiguous.acks.a2b,rtt.samples.b2a,rtt.min.b2a,rtt.max.b2a,rtt.avg.b2a,rtt.stdev.b2a,rtt.full.sz.min.b2a,rtt.full.sz.avg.b2a,post.loss.acks.b2a,rtt.min.last.b2a,rtt.max.last.b2a,rtt.sdv.last.b2a,segs.cum.acked.b2a,triple.dupacks.b2a,max.retrans.b2a,min.retr.time.b2a,avg.retr.time.b2a,sdv.retr.time.b2a,duplicate.acks.a2b,duplicate.acks.b2a,abs.downlinkdelay.max,abs.uplinkdelay.25.,abs.uplinkdelay.50.,abs.uplinkdelay.avg,abs.uplinkdelay.75.,abs.uplinkdelay.max,abs.downlinkdeltadelay.25.,abs.downlinkdeltadelay.50.,abs.downlinkdeltadelay.75.,abs.uplinkdeltadelay.75.,abs.rtt.min,abs.rtt.25.,abs.rtt.50.,abs.rtt.avg,abs.rtt.75.,abs.rtt.max,abs.cwin.min,abs.cwin.25.,abs.cwin.50.,abs.cwin.max,abs.rwin.min,abs.rwin.25.,abs.rwin.50.,abs.rwin.avg,abs.rwin.75.,abs.winratio.25.,abs.winratio.50.,abs.radiobuffer.min,abs.radiobuffer.25.,abs.radiobuffer.50.,abs.radiobuffer.avg,abs.radiobuffer.75.,abs.radiobuffer.max,abs.idletime.25.,abs.idletime.50.,abs.idletime.75.,abs.idletime.max,abs.segmentsizes.min,abs.segmentsizes.max,abs.packetlost.sum,abs.pushevents.sum,abs.burst.sum,abs.rtoevents.sum,abs.theoricalmaxtp.min,abs.theoricalmaxtp.avg,abs.theoricalmaxtp.max,transfer.datarate
0.0,0.0,0.0,10000383.0,0.0,0.0,0.0,65236.0,108.0,229.0,8374272.0,65536.0,4779176.0,291718.0,1.0,1.0,133196.0,15.0,11104.0,2.0,10000243.0,0.0,0.221,870.0,2.0,13.7,19.2,16.5,0.0,19.2,1.0,19.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,266.0,0.1,7.9,0.7,0.6,0.8,0.8,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,9.0,11.0,8.75968992248062,14.0,22.0,6.0,12.0,18.0,42.0,15.0,22.0,26.0,26.7416020671835,32.0,43.0,0.0,754308.0,1324152.0,2552719.0,65536.0,3375104.0,7458816.0,5800433.44702842,8225792.0,0.180131834007124,0.240758295447493,0.0,431046.0,846680.0,1612403.03359173,3702155.0,3702155.0,0.0,0.0,0.999999996565748,23.0000000010477,1.0,65236.0,0.0,204.0,0.0,0.0,0.0,390.544555819917,706.214399952919,362004.814
0.0,0.0,0.0,10000383.0,0.0,0.0,0.0,65236.0,512.0,229.0,8386560.0,65536.0,5318265.0,341975.0,1.0,1.0,61641.0,17.0,2776.0,1.0,10000243.0,0.0,0.342,564.0,2.0,26.4,29.4,27.9,0.0,29.4,1.0,29.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,340.0,0.1,2.3,0.5,0.4,1.1,1.1,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,8.0,10.0,5.61895161290323,12.0,27.0,12.0,25.0,38.0,61.0,11.0,21.0,30.5,33.6028225806452,47.0,60.0,0.0,645420.0,1099296.0,1581570.0,65536.0,4126720.0,8299520.0,6269089.03225806,8358912.0,0.16061912933526,0.184021041027607,0.0,703932.75,1172990.5,1229282.79032258,1464822.5,2458370.0,0.0,0.0,1.00000000384171,36.0000000000582,1.0,65236.0,0.0,238.0,0.0,0.0,0.0,251.342728076627,547.403478237069,233927.088
0.0,0.0,0.0,10000383.0,0.0,0.0,0.0,65236.0,168.0,229.0,8375296.0,65536.0,4077856.0,358732.0,1.0,1.0,114283.0,28.0,5552.0,2.0,10000243.0,0.0,0.252,722.0,2.0,22.1,34.7,28.4,0.0,22.1,1.0,22.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,275.0,0.1,9.7,0.5,0.7,0.6,0.6,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,4.0,12.0,6.40425531914894,14.0,25.0,5.0,12.0,26.0,49.0,13.0,22.0,27.0,27.0132978723404,29.0,49.0,0.0,586777.0,985481.0,2790496.0,65536.0,1715456.0,2922496.0,4058060.25531915,7611392.0,0.205769465268869,0.272455552336205,0.0,246370.0,938429.5,1854800.68351064,3974969.0,4063801.0,0.0,0.0,1.00000000384171,43.9999999944121,1.0,65236.0,0.0,206.0,0.0,0.0,0.0,306.117172117282,683.049999978655,317472.476
0.0,0.0,0.0,10025819.0,0.0,0.0,0.0,65236.0,274.0,300.0,4634624.0,65536.0,2600683.0,282700.0,1.0,4.0,86310.0,57.0,2776.0,1.0,10004819.0,0.101,0.349,2082.0,4.0,10.6,17.1,14.5,3.1,17.1,1.0,17.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,258.0,0.1,1.7,0.6,0.3,0.4,0.4,0.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,11.0,13.0,11.9665970772443,14.0,28.0,2.0,4.0,8.0,22.0,11.0,18.0,20.0,21.3277661795407,24.0,41.0,0.0,632523.0,807996.0,1701527.0,65536.0,2124288.0,2831360.0,2854484.44258873,3814400.0,0.187290146551356,0.279927878147869,0.0,228525.0,337890.0,707896.271398747,687034.5,2146544.0,0.0,0.0,0.999999996565748,59.9999999976717,1.0,65236.0,0.0,371.0,0.0,0.0,0.0,310.293661654684,616.103272671263,314414.4
0.0,0.0,0.0,10000383.0,230.0,0.0,0.0,65236.0,76.0,229.0,8383488.0,65536.0,4399028.0,284729.0,1.0,1.0,118051.0,99.0,2776.0,1.0,10000243.0,0.247,0.332,368.0,1.0,19.6,19.6,19.6,0.0,19.6,1.0,19.6,16.8,0.0,0.0,1.0,0.0,1.0,0.0,1.0,295.0,0.1,10.9,0.6,0.7,0.8,0.8,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,9.0,12.0,9.99334811529934,14.0,20.0,9.0,16.0,24.0,41.0,13.0,25.0,32.0,31.8980044345898,38.0,53.0,0.0,645600.0,1151312.0,1625891.0,65536.0,3027968.0,6992896.0,5566845.44567627,8053248.0,0.157260060118961,0.194581797212786,0.0,542708.0,799488.0,690658.223946785,849312.0,1344972.0,0.0,0.0,1.00000000384171,273.000000001048,1.0,65236.0,0.0,229.0,0.0,0.0,0.0,251.643069538861,580.329454519076,240249.441
0.0,0.0,36.0,10376141.0,0.0,375758.0,42.0,65236.0,60.0,229.0,8387584.0,65536.0,6844223.0,268074.0,1.0,1.0,94625.0,4.0,11104.0,2.0,10376001.0,0.0,1.515,147.0,2.0,15.5,18.7,17.1,0.0,18.7,1.0,18.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,554.0,0.1,4.0,0.6,0.5,0.5,0.5,10.0,0.0,0.0,0.0,256.0,5.0,0.0,0.0,0.0,0.0,0.0,39.0,637.0,-56.0,7.0,-71.9311163895487,10.0,25.0,8.0,20.0,212.0,628.0,7.0,18.0,23.0,56.9812766025288,54.0,385.0,0.0,104959.0,144595.0,1555355.0,65536.0,7362560.0,8368640.0,7125722.90736342,8381440.0,0.0125991510694712,0.0174647793219304,0.0,82038.0,233399.5,638435.243467933,1001784.0,2748479.0,0.0,0.999999996565748,2.00000000040745,197.999999996682,0.0,65236.0,27.0,305.0,8.0,1.0,0.0,68.0553719844713,731.920499954255,52807.303
0.0,0.0,0.0,10025818.0,0.0,0.0,16.0,58388.0,89.0,300.0,6289408.0,65536.0,5025601.0,305164.0,1.0,2.0,20476.0,25.0,3585.0,2.0,9853161.0,0.163,1.692,504.0,4.0,16.4,39.8,24.1,10.7,18.6,1.0,18.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,773.0,0.1,4.9,0.6,0.4,0.4,0.4,0.0,0.0,0.0,0.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.0,4.0,9.0,-28.8535598705502,11.0,25.0,130.0,170.0,224.0,359.0,19.0,53.0,157.5,141.15908845739,205.0,291.0,0.0,253514.75,1317308.5,1363050.0,65536.0,5940224.0,6280192.0,5454352.56957929,6288384.0,0.0447749890249318,0.213816434251792,0.0,617362.75,1249053.5,1030782.49676375,1310871.25,2395002.0,0.0,0.0,2.00000000040745,91.0000000003492,1.0,58388.0,0.0,462.0,0.0,0.0,0.0,49.248814049074,100.639679995974,51296.015
0.0,0.0,0.0,10025876.0,0.0,0.0,13.0,65236.0,60.0,300.0,3579904.0,65536.0,1729985.0,327252.0,1.0,5.0,178252.0,76.0,3585.0,2.0,9963096.0,0.126,0.402,1868.0,4.0,17.3,21.7,19.6,1.8,17.3,1.0,17.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,207.0,0.1,2.0,0.6,0.3,0.4,0.4,0.0,0.0,0.0,0.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,10.0,14.0,4.35840707964602,16.0,22.0,10.0,16.5,21.0,78.0,14.0,26.0,31.0,30.7699115044248,35.0,45.0,0.0,708008.0,1220868.0,2013988.0,65536.0,1293312.0,2302976.0,2076914.40707965,2792448.0,0.325724809885932,0.4182292232298,0.0,665937.0,985972.5,1417014.12610619,3078505.0,3078505.0,0.0,0.0,1.00000000384171,69.999999999709,1.0,65236.0,0.0,228.0,0.0,0.0,0.0,277.605349277686,666.722782579708,270865.324
0.0,0.0,0.0,10000383.0,0.0,0.0,12.0,65236.0,212.0,229.0,8386560.0,65536.0,5068545.0,450990.0,1.0,1.0,61975.0,9.0,4740.0,2.0,10000243.0,0.0,0.866,234.0,2.0,23.5,72.2,47.8,0.0,72.2,1.0,72.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,374.0,0.1,6.5,0.6,0.7,1.2,1.2,10.0,0.0,0.0,0.0,165.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,240.0,5.0,10.0,-12.7468123861566,17.0,33.0,26.0,55.0,130.0,177.0,13.0,37.0,58.0,78.3357576234102,93.0,254.0,0.0,271064.0,770340.0,1485896.0,65536.0,2691072.0,7660544.0,5784725.21675774,8338432.0,0.0944750779530448,0.161439690817082,0.0,580184.0,750800.0,756654.367941712,1022736.0,1668376.0,0.0,0.0,2.00000000040745,161.000000000058,1.0,65236.0,0.0,240.0,0.0,0.0,0.0,97.452986711229,516.350608673202,92489.091
0.0,0.0,0.0,10000383.0,0.0,0.0,0.0,65236.0,184.0,229.0,8385536.0,65536.0,4779603.0,286151.0,1.0,1.0,76156.0,12.0,12492.0,3.0,10000243.0,0.0,0.343,580.0,2.0,18.4,25.3,21.8,0.0,25.3,1.0,25.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,319.0,0.1,7.6,0.8,0.9,0.7,0.7,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,85.0,8.0,11.0,5.95296523517382,14.0,28.0,18.0,30.0,35.0,76.0,17.0,30.0,37.0,38.3353783231084,48.0,58.0,0.0,787028.0,1452090.0,1606158.0,65536.0,4192256.0,6359040.0,5681273.45603272,8329216.0,0.184760517854961,0.205470880197682,0.0,947974.0,1175606.0,1670544.36809816,3178964.0,3183900.0,0.0,0.0,1.00000000384171,28.0000000057044,1.0,65236.0,0.0,238.0,0.0,0.0,0.0,239.704317525249,527.60933331135,233245.085
0.0,0.0,0.0,10025819.0,0.0,0.0,4.0,65236.0,192.0,300.0,6879232.0,65536.0,3860423.0,290972.0,1.0,3.0,62618.0,53.0,3586.0,2.0,9958199.0,0.153,0.444,1725.0,4.0,16.7,24.4,20.6,3.5,24.4,1.0,24.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,302.0,0.1,2.3,0.5,0.3,0.8,0.8,0.0,0.0,0.0,0.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,10.0,13.0,11.9404517453799,16.0,26.0,10.0,15.0,25.5,34.0,14.0,26.0,29.0,32.2895277207392,39.0,55.0,0.0,861156.0,1226010.0,1480996.0,65536.0,3928576.0,4997120.0,4488885.88090349,5779456.0,0.212357464132269,0.241040025323579,0.0,277600.0,634316.0,631473.176591376,950086.0,1365792.0,0.0,0.0,1.00000000384171,103.000000002794,1.0,65236.0,0.0,237.0,0.0,0.0,0.0,266.464858942622,496.507428547785,260310.623
0.0,0.0,0.0,10000383.0,0.0,0.0,0.0,65236.0,16.0,229.0,8386560.0,65536.0,5396221.0,287537.0,1.0,1.0,61399.0,16.0,8328.0,2.0,10000243.0,0.0,0.324,617.0,2.0,19.0,21.4,20.2,0.0,19.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,343.0,0.1,6.5,0.6,0.8,0.8,0.8,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,9.0,12.0,8.94196428571429,14.0,21.0,14.0,22.0,26.0,45.0,15.0,23.0,33.0,31.6651785714286,39.0,48.0,0.0,706304.0,1212956.0,1492648.0,65536.0,3092480.0,8227840.0,5986726.85714286,8363008.0,0.13571384841435,0.175827186468666,0.0,313500.0,756460.0,671928.216517857,970427.0,1281124.0,0.0,0.0,1.00000000384171,30.0000000061118,1.0,65236.0,0.0,236.0,0.0,0.0,0.0,245.631238660176,401.65848274477,246923.037
0.0,0.0,0.0,10025819.0,0.0,0.0,8.0,65236.0,56.0,300.0,5198848.0,65536.0,1936061.0,286886.0,1.0,4.0,105983.0,11.0,3586.0,2.0,9962763.0,0.135,0.53,310.0,5.0,16.7,28.6,20.1,5.1,17.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,261.0,0.1,2.4,0.7,0.5,0.9,0.9,0.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,74.0,6.0,11.0,6.81898454746137,14.0,27.0,8.0,12.0,21.0,53.0,13.0,21.0,26.0,26.7924944812362,31.0,44.0,0.0,510784.0,593672.0,1426864.0,65536.0,849920.0,1632256.0,1839354.91390728,2724864.0,0.211567386779041,0.328125,0.0,268586.0,363520.0,467298.514348786,631540.0,1607304.0,0.0,0.0,1.00000000384171,82.9999999987194,1.0,65236.0,0.0,224.0,0.0,0.0,0.0,205.000709929576,406.617904742542,193194.39
