sack.pkts.sent.b2a,dsack.pkts.sent.b2a,rexmt.data.pkts.b2a,rexmt.data.bytes.a2b,rexmt.data.bytes.b2a,outoforder.pkts.a2b,outoforder.pkts.b2a,pushed.data.pkts.a2b,pushed.data.pkts.b2a,max.segm.size.b2a,min.segm.size.a2b,min.segm.size.b2a,max.win.adv.a2b,max.win.adv.b2a,min.win.adv.a2b,avg.win.adv.b2a,max.owin.a2b,min.non.zero.owin.b2a,avg.owin.a2b,avg.owin.b2a,wavg.owin.a2b,wavg.owin.b2a,initial.window.bytes.a2b,initial.window.pkts.b2a,data.xmit.time.a2b,data.xmit.time.b2a,idletime.max.a2b,idletime.max.b2a,throughput.b2a,rtt.samples.a2b,rtt.min.a2b,rtt.avg.a2b,rtt.full.sz.smpls.a2b,rtt.full.sz.min.a2b,post.loss.acks.a2b,rtt.min.last.a2b,rtt.max.last.a2b,rtt.avg.last.a2b,rtt.sdv.last.a2b,segs.cum.acked.a2b,triple.dupacks.a2b,max.retrans.a2b,min.retr.time.a2b,max.retr.time.a2b,avg.retr.time.a2b,sdv.retr.time.a2b,ambiguous.acks.a2b,rtt.samples.b2a,rtt.min.b2a,rtt.max.b2a,rtt.avg.b2a,rtt.stdev.b2a,rtt.full.sz.min.b2a,post.loss.acks.b2a,triple.dupacks.b2a,syn.pkts.sent.b2a,duplicate.acks.a2b,duplicate.acks.b2a,transfer.datarate
0.0,0.0,0.0,0.0,0.0,28.0,0.0,526.0,1.0,465.0,308.0,465.0,67584.0,3808512.0,65536.0,3568064.0,2492124.0,1.0,1233994.0,1.0,1654771.0,0.0,12800.0,1.0,0.9,0.0,788.8,79.6,269.0,3580.0,29.3,361.6,1.0,30.8,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6,0.9,0.7,0.0,0.9,0.0,0.0,1.0,0.0,0.0,23741.469
766.0,0.0,0.0,69400.0,0.0,472.0,0.0,295.0,1.0,465.0,308.0,465.0,67584.0,7780864.0,65536.0,5262591.0,1808565.0,1.0,770981.0,1.0,764539.0,0.0,12800.0,1.0,0.639,0.0,343.3,293.2,462.0,2649.0,12.7,41.3,1.0,17.9,6.0,31.9,32.5,32.2,0.2,942.0,1.0,1.0,249.1,259.8,254.3,4.3,8.0,2.0,0.5,0.9,0.7,0.0,0.5,0.0,0.0,1.0,374.0,0.0,58145.895
0.0,0.0,0.0,0.0,0.0,194.0,0.0,184.0,3.0,2776.0,126.0,274.0,76800.0,5641216.0,65536.0,3602225.0,966049.0,1.0,554877.0,5.0,171752.0,173.0,517.0,1.0,0.389,0.075,53.9,69.6,9193.0,823.0,13.9,35.7,1.0,18.1,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.3,0.6,0.4,0.2,0.5,0.0,0.0,1.0,0.0,0.0,60189.445
0.0,0.0,0.0,0.0,0.0,143.0,0.0,246.0,1.0,465.0,308.0,465.0,67584.0,5309824.0,65536.0,3277354.0,2476193.0,1.0,1227939.0,1.0,2036051.0,0.0,12800.0,1.0,0.326,0.0,1182.8,1038.6,303.0,3528.0,12.6,77.2,1.0,19.6,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6,0.9,0.8,0.0,0.9,0.0,0.0,1.0,0.0,0.0,85297.177
1067.0,0.0,0.0,51356.0,0.0,76.0,0.0,329.0,1.0,465.0,308.0,465.0,67584.0,4514048.0,65536.0,2605325.0,1356077.0,1.0,630269.0,1.0,575799.0,0.0,12800.0,1.0,1.043,0.0,987.6,617.4,226.0,2469.0,14.2,39.5,1.0,26.0,3.0,27.5,163.2,84.6,66.3,1099.0,3.0,1.0,253.6,401.0,272.9,45.3,34.0,2.0,0.5,1.5,1.0,0.0,0.5,0.0,0.0,1.0,1032.0,0.0,37041.089
0.0,0.0,0.0,0.0,0.0,63.0,0.0,306.0,1.0,465.0,244.0,465.0,67584.0,4042880.0,65536.0,1839773.0,2293221.0,1.0,1050058.0,1.0,953360.0,0.0,12800.0,1.0,0.899,0.0,510.0,285.6,324.0,3575.0,16.6,88.1,1.0,22.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6,1.9,1.3,0.0,0.6,0.0,0.0,1.0,0.0,0.0,43388.694
0.0,0.0,0.0,0.0,0.0,104.0,0.0,183.0,3.0,2776.0,126.0,274.0,76800.0,7039488.0,65536.0,3106051.0,1192293.0,1.0,597525.0,8.0,182979.0,513.0,517.0,2.0,0.373,0.058,53.0,64.0,9481.0,759.0,13.1,33.4,1.0,22.6,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.5,0.7,0.6,0.1,0.6,0.0,0.0,1.0,0.0,0.0,56623.921
0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,3.0,2776.0,126.0,274.0,76800.0,7371264.0,65536.0,3876385.0,1120117.0,1.0,572522.0,7.0,171921.0,648.0,517.0,2.0,0.35,0.069,53.7,64.7,10050.0,990.0,17.3,31.3,1.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.3,0.9,0.6,0.3,0.4,0.0,0.0,1.0,0.0,0.0,93581.259
0.0,0.0,0.0,0.0,0.0,255.0,0.0,362.0,1.0,465.0,308.0,465.0,67584.0,4610560.0,65536.0,2446597.0,2198573.0,1.0,1184694.0,1.0,1148184.0,0.0,12800.0,1.0,0.366,0.0,653.6,292.7,445.0,3480.0,12.1,66.3,1.0,17.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.7,0.6,0.0,0.5,0.0,0.0,1.0,0.0,0.0,89897.474
0.0,0.0,0.0,0.0,0.0,46.0,0.0,265.0,3.0,2776.0,126.0,274.0,76800.0,8387200.0,65536.0,4111419.0,1132609.0,1.0,573824.0,9.0,261330.0,486.0,517.0,2.0,0.498,0.074,55.7,68.5,7198.0,793.0,12.1,64.0,1.0,24.4,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.3,0.7,0.5,0.2,0.4,0.0,0.0,1.0,0.0,0.0,35527.752
