subset,method,sensitivity,specificity,f1-score,jaccard,aucroc
1A,IForest,0.8095238095238095,0.9927007299270073,0.8192771084337349,0.6938775510204082,0.9011122697254085
1A,KNN,0.5952380952380952,0.9947862356621481,0.6944444444444444,0.5319148936170213,0.7950121654501217
1A,LOF,0.5238095238095238,0.9874869655891554,0.5789473684210527,0.4074074074074074,0.7556482446993396
1A,PCA,1.0,1.0,1.0,1.0,1.0
1A,GMM,1.0,1.0,1.0,1.0,1.0
1A,KDE,1.0,1.0,1.0,1.0,1.0
1A,OCSVM,1.0,1.0,1.0,1.0,1.0
1A,CBLOF,1.0,1.0,1.0,1.0,1.0
1A,COF,0.35714285714285715,0.9718456725755996,0.35714285714285715,0.21739130434782608,0.6644942648592284
1A,HBOS,0.8333333333333334,1.0,0.9090909090909091,0.8333333333333334,0.9166666666666667
1A,COPOD,0.9761904761904762,0.9989572471324296,0.9761904761904762,0.9534883720930233,0.9875738616614529
1A,ECOD,0.5,0.9781021897810219,0.5,0.3333333333333333,0.739051094890511
1A,LODA,0.8333333333333334,1.0,0.9090909090909091,0.8333333333333334,0.9166666666666667
1B,IForest,0.8205128205128205,0.9924892703862661,0.8205128205128205,0.6956521739130435,0.9065010454495434
1B,KNN,0.5897435897435898,0.9967811158798283,0.7076923076923077,0.5476190476190477,0.7932623528117091
1B,LOF,0.358974358974359,0.9860515021459227,0.42424242424242425,0.2692307692307692,0.6725129305601409
1B,PCA,1.0,1.0,1.0,1.0,1.0
1B,GMM,1.0,1.0,1.0,1.0,1.0
1B,KDE,1.0,1.0,1.0,1.0,1.0
1B,OCSVM,1.0,1.0,1.0,1.0,1.0
1B,CBLOF,0.9743589743589743,0.9989270386266095,0.9743589743589743,0.95,0.986643006492792
1B,COF,0.23076923076923078,0.9678111587982833,0.23076923076923078,0.13043478260869565,0.599290194783757
1B,HBOS,0.717948717948718,1.0,0.835820895522388,0.717948717948718,0.858974358974359
1B,COPOD,0.9743589743589743,0.9989270386266095,0.9743589743589743,0.95,0.986643006492792
1B,ECOD,0.48717948717948717,0.9796137339055794,0.4935064935064935,0.3275862068965517,0.7333966105425332
1B,LODA,0.9230769230769231,1.0,0.96,0.9230769230769231,0.9615384615384616
1C,IForest,0.7580645161290323,0.9768160741885626,0.7580645161290323,0.6103896103896104,0.8674402951587974
1C,KNN,0.46774193548387094,0.9891808346213292,0.5918367346938775,0.42028985507246375,0.7284613850526002
1C,LOF,0.4032258064516129,0.9598145285935085,0.4424778761061947,0.2840909090909091,0.6815201675225607
1C,PCA,1.0,1.0,1.0,1.0,1.0
1C,GMM,1.0,1.0,1.0,1.0,1.0
1C,KDE,1.0,1.0,1.0,1.0,1.0
1C,OCSVM,1.0,1.0,1.0,1.0,1.0
1C,CBLOF,0.6290322580645161,0.964451313755796,0.6290322580645161,0.4588235294117647,0.796741785910156
1C,COF,0.22580645161290322,0.9258114374034003,0.22580645161290322,0.12727272727272726,0.5758089445081518
