subset,method,sensitivity,specificity,f1-score,jaccard,aucroc
1C,HBOS,0.8709677419354839,1.0,0.9310344827586207,0.8709677419354839,0.935483870967742
1C,COPOD,0.9354838709677419,0.9938176197836167,0.9354838709677419,0.8787878787878788,0.9646507453756794
1C,ECOD,0.5,0.9567233384853169,0.512396694214876,0.34444444444444444,0.7283616692426584
1C,LODA,0.8709677419354839,1.0,0.9310344827586207,0.8709677419354839,0.935483870967742
1D,IForest,0.9259259259259259,0.9969742813918305,0.9259259259259259,0.8620689655172413,0.9614501036588783
1D,KNN,0.7407407407407407,0.9984871406959153,0.8333333333333334,0.7142857142857143,0.869613940718328
1D,LOF,0.3333333333333333,0.989409984871407,0.4186046511627907,0.2647058823529412,0.6613716591023702
1D,PCA,1.0,1.0,1.0,1.0,1.0
1D,GMM,1.0,1.0,1.0,1.0,1.0
1D,KDE,1.0,1.0,1.0,1.0,1.0
1D,OCSVM,1.0,1.0,1.0,1.0,1.0
1D,CBLOF,1.0,1.0,1.0,1.0,1.0
1D,COF,0.37037037037037035,0.9742813918305597,0.37037037037037035,0.22727272727272727,0.672325881100465
1D,HBOS,0.5185185185185185,1.0,0.6829268292682927,0.5185185185185185,0.7592592592592593
1D,COPOD,0.9629629629629629,0.9984871406959153,0.9629629629629629,0.9285714285714286,0.980725051829439
1D,ECOD,0.48148148148148145,0.9803328290468987,0.49056603773584906,0.325,0.73090715526419
1D,LODA,0.6666666666666666,1.0,0.8,0.6666666666666666,0.8333333333333333
2A,IForest,1.0,1.0,1.0,1.0,1.0
2A,KNN,0.4230769230769231,0.9971000483325277,0.5116279069767442,0.34375,0.7100884857047254
2A,LOF,0.4230769230769231,0.9942000966650556,0.4489795918367347,0.2894736842105263,0.7086385098709894
2A,PCA,1.0,1.0,1.0,1.0,1.0
2A,GMM,1.0,1.0,1.0,1.0,1.0
2A,KDE,1.0,1.0,1.0,1.0,1.0
2A,OCSVM,1.0,1.0,1.0,1.0,1.0
2A,CBLOF,1.0,1.0,1.0,1.0,1.0
2A,COF,0.2692307692307692,0.9908168197196714,0.2692307692307692,0.15555555555555556,0.6300237944752203
2A,HBOS,0.7692307692307693,1.0,0.8695652173913043,0.7692307692307693,0.8846153846153846
2A,COPOD,1.0,1.0,1.0,1.0,1.0
2A,ECOD,0.5,0.9937167713871435,0.5,0.3333333333333333,0.7468583856935718
2A,LODA,0.3076923076923077,1.0,0.47058823529411764,0.3076923076923077,0.6538461538461539
2B,IForest,0.7083333333333334,0.989022477783586,0.7083333333333334,0.5483870967741935,0.8486779055584598
2B,KNN,0.5138888888888888,0.9937271301620492,0.6115702479338843,0.44047619047619047,0.753808009525469
2B,LOF,0.19444444444444445,0.9801359121798223,0.22580645161290322,0.12727272727272726,0.5872901783121335
2B,PCA,1.0,1.0,1.0,1.0,1.0
2B,GMM,1.0,1.0,1.0,1.0,1.0
2B,KDE,1.0,1.0,1.0,1.0,1.0
2B,OCSVM,1.0,1.0,1.0,1.0,1.0
2B,CBLOF,1.0,1.0,1.0,1.0,1.0
2B,COF,0.125,0.967067433350758,0.125,0.06666666666666667,0.5460337166753789
2B,HBOS,0.375,1.0,0.5454545454545454,0.375,0.6875
2B,COPOD,0.9722222222222222,0.9989545216936748,0.9722222222222222,0.9459459459459459,0.9855883719579486
2B,ECOD,0.5,0.98170412963931,0.5034965034965035,0.3364485981308411,0.7408520648196549
2B,LODA,0.5,1.0,0.6666666666666666,0.5,0.75
